Time,Ask,Bid,AskVolume,BidVolume
01.05.2012 14:06:57.908,81.080,81.063,2.33,2.33
01.05.2012 14:06:57.985,81.074,81.059,1.58,2.33
01.05.2012 14:06:58.053,81.074,81.059,1.58,2.33
01.05.2012 14:06:58.694,81.072,81.059,1.58,2.33
01.05.2012 14:06:58.763,81.071,81.055,1.58,1.50
01.05.2012 14:06:59.132,81.074,81.057,2.33,2.33
01.05.2012 14:06:59.204,81.076,81.062,1.50,1.58
01.05.2012 14:06:59.272,81.077,81.062,3.83,1.58
01.05.2012 14:06:59.796,81.078,81.063,1.50,1.58
01.05.2012 14:07:00.043,81.078,81.061,2.33,1.58
01.05.2012 14:07:00.593,81.078,81.061,2.33,2.33
01.05.2012 14:07:01.080,81.075,81.058,1.58,3.08
01.05.2012 14:07:01.620,81.076,81.061,1.58,2.33
01.05.2012 14:07:02.514,81.079,81.062,4.65,2.33
01.05.2012 14:07:03.155,81.076,81.061,1.58,4.65
01.05.2012 14:07:03.876,81.078,81.063,3.08,1.58
01.05.2012 14:07:03.952,81.074,81.059,1.58,1.58
01.05.2012 14:07:04.023,81.076,81.061,2.33,1.58
01.05.2012 14:07:04.093,81.074,81.059,1.58,3.15
01.05.2012 14:07:09.981,81.074,81.059,2.33,2.33
01.05.2012 14:07:10.803,81.064,81.059,1.58,1.58
01.05.2012 14:07:11.631,81.075,81.059,3.08,1.58
01.05.2012 14:07:11.714,81.076,81.063,1.50,1.58
01.05.2012 14:07:12.096,81.074,81.061,1.50,1.58
01.05.2012 14:07:12.240,81.071,81.054,2.33,2.33
01.05.2012 14:07:12.318,81.071,81.054,2.33,2.33
01.05.2012 14:07:12.621,81.071,81.054,2.33,2.33
01.05.2012 14:07:13.068,81.066,81.053,1.58,1.50
01.05.2012 14:07:13.142,81.066,81.053,1.58,1.50
01.05.2012 14:07:13.213,81.068,81.053,1.58,2.33
01.05.2012 14:07:13.720,81.066,81.052,1.58,1.50
01.05.2012 14:07:14.321,81.069,81.052,3.08,3.08
01.05.2012 14:07:14.632,81.069,81.055,2.33,2.33
